,rating,category_1
550,4.0,Accessories & Supplies
551,3.0,Accessories & Supplies
552,1.0,Accessories & Supplies
553,3.0,Accessories & Supplies
554,4.0,Accessories & Supplies
555,4.0,Accessories & Supplies
556,3.0,Accessories & Supplies
557,4.0,Accessories & Supplies
558,4.0,Accessories & Supplies
559,4.0,Accessories & Supplies
560,3.0,Accessories & Supplies
561,4.0,Accessories & Supplies
562,3.0,Accessories & Supplies
563,5.0,Accessories & Supplies
564,5.0,Accessories & Supplies
565,4.0,Home Audio
566,3.0,Home Audio
567,5.0,Home Audio
568,1.0,Home Audio
569,4.0,Home Audio
570,4.0,Home Audio
571,5.0,Home Audio
572,1.0,Home Audio
573,5.0,Home Audio
574,5.0,Home Audio
575,1.0,Home Audio
576,5.0,Home Audio
577,5.0,Home Audio
578,5.0,Home Audio
579,5.0,Home Audio
580,5.0,Home Audio
581,4.0,Home Audio
582,5.0,Home Audio
583,4.0,Home Audio
584,2.0,Home Audio
585,3.0,Computers & Accessories
586,3.0,Computers & Accessories
587,1.0,Computers & Accessories
588,5.0,Computers & Accessories
589,2.0,Computers & Accessories
590,4.0,Computers & Accessories
591,2.0,Computers & Accessories
592,5.0,Computers & Accessories
593,1.0,Computers & Accessories
594,5.0,Computers & Accessories
595,1.0,Computers & Accessories
596,1.0,Computers & Accessories
597,1.0,Computers & Accessories
598,1.0,Computers & Accessories
599,1.0,Computers & Accessories
600,1.0,Computers & Accessories
601,1.0,Computers & Accessories
602,1.0,Computers & Accessories
603,1.0,Computers & Accessories
604,1.0,Computers & Accessories
605,1.0,Computers & Accessories
606,4.0,Accessories & Supplies
607,5.0,Accessories & Supplies
608,4.0,Accessories & Supplies
609,5.0,Accessories & Supplies
610,4.0,Accessories & Supplies
611,5.0,Accessories & Supplies
612,4.0,Camera & Photo
613,5.0,Camera & Photo
614,3.0,Television & Video
615,3.0,Television & Video
616,5.0,Television & Video
617,1.0,Television & Video
618,4.0,Television & Video
619,2.0,Television & Video
620,4.0,Television & Video
621,1.0,Television & Video
622,4.0,Television & Video
623,4.0,Television & Video
624,1.0,Television & Video
625,5.0,Television & Video
626,4.0,Television & Video
627,4.0,Television & Video
628,1.0,Television & Video
629,5.0,Television & Video
630,2.0,Television & Video
631,4.0,Television & Video
632,2.0,Television & Video
633,5.0,Television & Video
634,5.0,Television & Video
635,5.0,Television & Video
636,2.0,Television & Video
637,4.0,Television & Video
638,2.0,Television & Video
639,5.0,Television & Video
640,5.0,Television & Video
641,5.0,Television & Video
642,5.0,Television & Video
643,3.0,Accessories & Supplies
644,5.0,Accessories & Supplies
645,4.0,Accessories & Supplies
646,4.0,Television & Video
647,3.0,Television & Video
648,4.0,Television & Video
649,1.0,Television & Video
650,5.0,Television & Video
651,2.0,Television & Video
652,1.0,Television & Video
653,1.0,Television & Video
654,1.0,Television & Video
655,5.0,Computers & Accessories
656,5.0,Computers & Accessories
657,5.0,Computers & Accessories
658,4.0,Computers & Accessories
659,5.0,Computers & Accessories
660,5.0,Computers & Accessories
661,5.0,Computers & Accessories
662,5.0,Computers & Accessories
663,4.0,Computers & Accessories
664,5.0,Computers & Accessories
665,4.0,Computers & Accessories
666,5.0,Computers & Accessories
667,5.0,Computers & Accessories
668,5.0,Computers & Accessories
669,5.0,Computers & Accessories
670,3.0,Computers & Accessories
671,3.0,Computers & Accessories
672,2.0,Computers & Accessories
673,5.0,Computers & Accessories
674,4.0,Computers & Accessories
675,3.0,Computers & Accessories
676,4.0,Computers & Accessories
677,2.0,Computers & Accessories
678,3.0,Computers & Accessories
679,4.0,Computers & Accessories
680,2.0,Computers & Accessories
681,3.0,Computers & Accessories
682,3.0,Computers & Accessories
683,4.0,Computers & Accessories
684,5.0,Computers & Accessories
685,5.0,Computers & Accessories
686,5.0,Computers & Accessories
687,4.0,Computers & Accessories
688,3.0,Computers & Accessories
689,5.0,Computers & Accessories
690,4.0,Computers & Accessories
691,5.0,Computers & Accessories
692,4.0,Computers & Accessories
693,2.0,Computers & Accessories
694,4.0,Computers & Accessories
695,5.0,Accessories & Supplies
696,5.0,Accessories & Supplies
697,5.0,Accessories & Supplies
698,4.0,Accessories & Supplies
699,5.0,Accessories & Supplies
700,5.0,Accessories & Supplies
701,5.0,Accessories & Supplies
702,5.0,Accessories & Supplies
703,5.0,Accessories & Supplies
704,4.0,Accessories & Supplies
705,5.0,Accessories & Supplies
706,4.0,Accessories & Supplies
707,5.0,Accessories & Supplies
708,4.0,Accessories & Supplies
709,4.0,Accessories & Supplies
710,5.0,Accessories & Supplies
711,3.0,Accessories & Supplies
712,3.0,Accessories & Supplies
713,4.0,Accessories & Supplies
714,5.0,Accessories & Supplies
715,5.0,Accessories & Supplies
716,5.0,Accessories & Supplies
717,1.0,Accessories & Supplies
718,4.0,Accessories & Supplies
719,1.0,Accessories & Supplies
720,3.0,Accessories & Supplies
721,5.0,Accessories & Supplies
722,4.0,Accessories & Supplies
723,2.0,Accessories & Supplies
724,5.0,Accessories & Supplies
725,5.0,Accessories & Supplies
726,5.0,Accessories & Supplies
727,5.0,Accessories & Supplies
728,5.0,Accessories & Supplies
729,5.0,Accessories & Supplies
730,1.0,Accessories & Supplies
731,1.0,Accessories & Supplies
732,5.0,Accessories & Supplies
733,1.0,Accessories & Supplies
734,1.0,Accessories & Supplies
735,5.0,Accessories & Supplies
736,5.0,Accessories & Supplies
737,4.0,Computers & Accessories
738,5.0,Accessories & Supplies
739,5.0,Accessories & Supplies
740,3.0,Camera & Photo
741,3.0,Camera & Photo
742,4.0,Camera & Photo
743,4.0,Camera & Photo
744,3.0,Camera & Photo
745,4.0,Camera & Photo
746,1.0,Camera & Photo
747,2.0,Camera & Photo
748,2.0,Camera & Photo
749,2.0,Camera & Photo
750,1.0,Camera & Photo
751,1.0,Camera & Photo
752,1.0,Camera & Photo
753,1.0,Camera & Photo
754,4.0,Camera & Photo
755,1.0,Camera & Photo
756,1.0,Camera & Photo
757,1.0,Camera & Photo
758,1.0,Camera & Photo
759,1.0,Camera & Photo
760,5.0,Computers & Accessories
761,4.0,Camera & Photo
762,2.0,Camera & Photo
763,4.0,Camera & Photo
764,2.0,Camera & Photo
765,1.0,Camera & Photo
766,4.0,Camera & Photo
767,4.0,Camera & Photo
768,1.0,Camera & Photo
769,5.0,Camera & Photo
770,1.0,Camera & Photo
771,1.0,Camera & Photo
772,5.0,Camera & Photo
773,5.0,Accessories & Supplies
774,5.0,Accessories & Supplies
775,5.0,Accessories & Supplies
776,4.0,Accessories & Supplies
777,5.0,Accessories & Supplies
778,5.0,Accessories & Supplies
779,5.0,Computers & Accessories
780,5.0,Accessories & Supplies
781,1.0,Computers & Accessories
782,3.0,Computers & Accessories
783,1.0,Computers & Accessories
784,1.0,Computers & Accessories
785,5.0,Accessories & Supplies
786,5.0,Accessories & Supplies
787,5.0,Accessories & Supplies
788,4.0,Accessories & Supplies
789,5.0,Accessories & Supplies
790,4.0,Accessories & Supplies
791,1.0,Accessories & Supplies
792,3.0,Accessories & Supplies
793,4.0,Accessories & Supplies
794,5.0,Accessories & Supplies
795,5.0,Accessories & Supplies
796,5.0,Accessories & Supplies
797,4.0,Portable Audio & Video
798,2.0,Portable Audio & Video
799,4.0,Portable Audio & Video
800,2.0,Portable Audio & Video
801,5.0,Portable Audio & Video
802,1.0,Portable Audio & Video
803,4.0,Portable Audio & Video
804,3.0,Portable Audio & Video
805,5.0,Portable Audio & Video
806,1.0,Portable Audio & Video
807,3.0,Portable Audio & Video
808,4.0,Portable Audio & Video
809,4.0,Portable Audio & Video
810,4.0,Portable Audio & Video
811,5.0,Portable Audio & Video
812,4.0,Portable Audio & Video
813,5.0,Portable Audio & Video
814,4.0,Portable Audio & Video
815,4.0,Portable Audio & Video
816,5.0,Portable Audio & Video
817,5.0,Computers & Accessories
818,2.0,Camera & Photo
819,5.0,Camera & Photo
820,1.0,Camera & Photo
821,5.0,Headphones
822,5.0,Headphones
823,1.0,Camera & Photo
824,5.0,Camera & Photo
825,5.0,Computers & Accessories
826,5.0,Computers & Accessories
827,5.0,Computers & Accessories
828,5.0,Computers & Accessories
829,3.0,"GPS, Finders & Accessories"
830,3.0,"GPS, Finders & Accessories"
831,5.0,"GPS, Finders & Accessories"
832,5.0,"GPS, Finders & Accessories"
833,5.0,"GPS, Finders & Accessories"
834,3.0,"GPS, Finders & Accessories"
835,4.0,"GPS, Finders & Accessories"
836,1.0,"GPS, Finders & Accessories"
837,5.0,Accessories & Supplies
838,5.0,Accessories & Supplies
839,5.0,Accessories & Supplies
840,4.0,Accessories & Supplies
841,5.0,Accessories & Supplies
842,3.0,Accessories & Supplies
843,5.0,Accessories & Supplies
844,1.0,Accessories & Supplies
845,5.0,Accessories & Supplies
846,5.0,Accessories & Supplies
847,5.0,Accessories & Supplies
848,5.0,Accessories & Supplies
849,5.0,Accessories & Supplies
850,5.0,Accessories & Supplies
851,5.0,Accessories & Supplies
852,5.0,Accessories & Supplies
853,5.0,Accessories & Supplies
854,4.0,Accessories & Supplies
855,5.0,Accessories & Supplies
856,5.0,Accessories & Supplies
857,5.0,Home Audio
858,5.0,Home Audio
859,5.0,Home Audio
860,4.0,Home Audio
861,5.0,Home Audio
862,5.0,Home Audio
863,5.0,Home Audio
864,5.0,Home Audio
865,2.0,Portable Audio & Video
866,2.0,Portable Audio & Video
867,1.0,Computers & Accessories
868,2.0,Camera & Photo
869,2.0,Camera & Photo
870,4.0,Camera & Photo
871,4.0,Camera & Photo
872,5.0,Camera & Photo
873,4.0,Video Projectors
874,4.0,Video Projectors
875,2.0,Video Projectors
876,5.0,Video Projectors
877,5.0,Video Projectors
878,4.0,Accessories & Supplies
879,1.0,Accessories & Supplies
880,5.0,Accessories & Supplies
881,5.0,Accessories & Supplies
882,1.0,Accessories & Supplies
883,5.0,Accessories & Supplies
884,5.0,Accessories & Supplies
885,5.0,Accessories & Supplies
886,4.0,Accessories & Supplies
887,1.0,Accessories & Supplies
888,3.0,Television & Video
889,2.0,Television & Video
890,5.0,Television & Video
891,2.0,Television & Video
892,2.0,Television & Video
893,2.0,Television & Video
894,1.0,Television & Video
895,1.0,Television & Video
896,1.0,Television & Video
897,1.0,Television & Video
898,1.0,Television & Video
899,1.0,Television & Video
900,1.0,Television & Video
901,1.0,Television & Video
902,1.0,Television & Video
903,1.0,Television & Video
904,1.0,Television & Video
905,1.0,Television & Video
906,3.0,Camera & Photo
907,5.0,Camera & Photo
908,3.0,Accessories & Supplies
909,5.0,Accessories & Supplies
910,5.0,Accessories & Supplies
911,5.0,Accessories & Supplies
912,5.0,Accessories & Supplies
913,5.0,Accessories & Supplies
914,1.0,Home Audio
915,2.0,Accessories & Supplies
916,1.0,Accessories & Supplies
917,4.0,Accessories & Supplies
918,4.0,Accessories & Supplies
919,5.0,Accessories & Supplies
920,1.0,Accessories & Supplies
921,5.0,Accessories & Supplies
922,5.0,Camera & Photo
923,5.0,Camera & Photo
924,5.0,Camera & Photo
925,5.0,Camera & Photo
926,3.0,Portable Audio & Video
927,4.0,Portable Audio & Video
928,3.0,Portable Audio & Video
929,4.0,Portable Audio & Video
930,4.0,Portable Audio & Video
931,4.0,Portable Audio & Video
932,5.0,Portable Audio & Video
933,4.0,Portable Audio & Video
934,2.0,Portable Audio & Video
935,5.0,Portable Audio & Video
936,5.0,Portable Audio & Video
937,5.0,Portable Audio & Video
938,5.0,Portable Audio & Video
939,1.0,Portable Audio & Video
940,5.0,Portable Audio & Video
941,5.0,Portable Audio & Video
942,5.0,Portable Audio & Video
943,5.0,Portable Audio & Video
944,5.0,Portable Audio & Video
945,5.0,Portable Audio & Video
946,4.0,Headphones
947,3.0,Headphones
948,4.0,Headphones
949,4.0,Headphones
950,5.0,Headphones
951,1.0,Headphones
952,5.0,Headphones
953,1.0,Headphones
954,5.0,Headphones
955,5.0,Headphones
956,5.0,Headphones
957,5.0,Headphones
958,5.0,Headphones
959,5.0,Headphones
960,5.0,Headphones
961,4.0,Headphones
